Summary,Signatures
Ban the AR-15 from Civilian Ownership.,"187,074"
Make Unlocking Cell Phones Legal.,"114,322"
Commute Chelsea Manning's Sentence to Time Served,"117,299"
Appoint Garland Now (Senate Has Waived Its Rights),"173,595"
We the People ask President Obama to immediately appoint Merrick Garland to the Supreme Court,"105,962"
Republic of India is involved in spreading terrorism in Pakistan and should be declared a terrorist state for this.,"101,659"
We the people ask congress to meet in emergency session about removing George Soros owned voting machines from 16 states,"135,692"
For President Obama to free Oscar Lopez Rivera before he ends his term as President.,"108,413"
"Ban the song ""Meet the Flockers"" from public media and investigate the legal responsibilities of YG","114,040"
"We the People ask the Administration to declare Pakistan, State Sponsor of Terrorism (H.R.6069)","665,769"
Restore the Traditional Navy Rating Specialty Titles Disestablished on 9/29/2016,"103,760"
Please do not make Kratom a Schedule I Substance,"145,906"
Reverse the decision that forced thousands of Military Veterans to repay bonuses they received for going to war.,"36,308"
Forgive Enlistment Bonuses Debt for Military Veterans,"4,282"
Forgive all bonus overpayments paid to military personnel for reenlistment purposes and refund monies already collected.,"6,041"
Forgive the debts of the thousands of California soldiers forced to repay enlistment bonuses a decade after going to war,"8,908"
Stop construction of the Dakota Access Pipeline which endangers the water supply to Native American reservations.,"378,090"
I would like our government to stop providing a safe haven to Fethullah Gulen  and I want him delivered to Turkey,"101,726"
Rescind the decision to deploy THAAD antimissile system in South Korea.,"108,295"
"August 15th is NOT Independence Day For Sikhs. SUPPORT the Liberation of Indian Occupied Punjab to Create ""KHALISTAN"".","106,703"
