country,date,doing_business,gdppc
Aruba,2020-01-01,,
Aruba,2019-01-01,,
Aruba,2018-01-01,,
Aruba,2017-01-01,,38444.2381571851
Aruba,2016-01-01,,37868.701514865
Aruba,2015-01-01,,37276.7949360065
Aruba,2014-01-01,,35457.9249743304
Aruba,2013-01-01,,35561.2426244372
Aruba,2012-01-01,,34328.1006558302
Aruba,2011-01-01,,34980.5242521179
Aruba,2010-01-01,,33943.2893208477
Aruba,2009-01-01,,35315.9571673371
Aruba,2008-01-01,,39502.9225603579
Aruba,2007-01-01,,39591.9089034982
Aruba,2006-01-01,,39044.5128078247
Aruba,2005-01-01,,38948.3676640312
Aruba,2004-01-01,,38981.4547770403
Aruba,2003-01-01,,36766.933487065
Aruba,2002-01-01,,36822.875345117
Aruba,2001-01-01,,38929.7486642133
Aruba,2000-01-01,,41016.4525802376
Aruba,1999-01-01,,38908.6682123591
Aruba,1998-01-01,,39194.2007322657
Aruba,1997-01-01,,39251.6967728796
Aruba,1996-01-01,,37654.4034535118
Aruba,1995-01-01,,38550.6465738568
Aruba,1994-01-01,,39366.767069817
Aruba,1993-01-01,,38494.8334450376
Aruba,1992-01-01,,38110.1471485565
Aruba,1991-01-01,,38007.4685346784
Aruba,1990-01-01,,36603.8292362755
Aruba,1989-01-01,,
Aruba,1988-01-01,,
Aruba,1987-01-01,,
Aruba,1986-01-01,,
Aruba,1985-01-01,,
Aruba,1984-01-01,,
Aruba,1983-01-01,,
Aruba,1982-01-01,,
Aruba,1981-01-01,,
Aruba,1980-01-01,,
Aruba,1979-01-01,,
Aruba,1978-01-01,,
Aruba,1977-01-01,,
Aruba,1976-01-01,,
Aruba,1975-01-01,,
Aruba,1974-01-01,,
Aruba,1973-01-01,,
Aruba,1972-01-01,,
Aruba,1971-01-01,,
Aruba,1970-01-01,,
Aruba,1969-01-01,,
Aruba,1968-01-01,,
Aruba,1967-01-01,,
Aruba,1966-01-01,,
Aruba,1965-01-01,,
Aruba,1964-01-01,,
Aruba,1963-01-01,,
Aruba,1962-01-01,,
Aruba,1961-01-01,,
Aruba,1960-01-01,,
Andorra,2020-01-01,,
Andorra,2019-01-01,,
Andorra,2018-01-01,,
Andorra,2017-01-01,,
Andorra,2016-01-01,,
Andorra,2015-01-01,,
Andorra,2014-01-01,,
Andorra,2013-01-01,,
Andorra,2012-01-01,,
Andorra,2011-01-01,,
Andorra,2010-01-01,,
Andorra,2009-01-01,,
Andorra,2008-01-01,,
Andorra,2007-01-01,,
Andorra,2006-01-01,,
Andorra,2005-01-01,,
Andorra,2004-01-01,,
Andorra,2003-01-01,,
Andorra,2002-01-01,,
Andorra,2001-01-01,,
Andorra,2000-01-01,,
Andorra,1999-01-01,,
Andorra,1998-01-01,,
Andorra,1997-01-01,,
Andorra,1996-01-01,,
Andorra,1995-01-01,,
Andorra,1994-01-01,,
Andorra,1993-01-01,,
Andorra,1992-01-01,,
Andorra,1991-01-01,,
Andorra,1990-01-01,,
Andorra,1989-01-01,,
Andorra,1988-01-01,,
Andorra,1987-01-01,,
Andorra,1986-01-01,,
Andorra,1985-01-01,,
Andorra,1984-01-01,,
Andorra,1983-01-01,,
Andorra,1982-01-01,,
Andorra,1981-01-01,,
Andorra,1980-01-01,,
Andorra,1979-01-01,,
Andorra,1978-01-01,,
Andorra,1977-01-01,,
Andorra,1976-01-01,,
Andorra,1975-01-01,,
Andorra,1974-01-01,,
Andorra,1973-01-01,,
Andorra,1972-01-01,,
Andorra,1971-01-01,,
Andorra,1970-01-01,,
Andorra,1969-01-01,,
Andorra,1968-01-01,,
Andorra,1967-01-01,,
Andorra,1966-01-01,,
Andorra,1965-01-01,,
Andorra,1964-01-01,,
Andorra,1963-01-01,,
Andorra,1962-01-01,,
Andorra,1961-01-01,,
Andorra,1960-01-01,,
United Arab Emirates,2020-01-01,,
United Arab Emirates,2019-01-01,80.91489,67119.1532453006
United Arab Emirates,2018-01-01,81.58883,66968.2211786651
United Arab Emirates,2017-01-01,79.30036,67183.6053123325
United Arab Emirates,2016-01-01,77.43435,66510.9029866687
United Arab Emirates,2015-01-01,76.28546,65218.8204352121
United Arab Emirates,2014-01-01,,62378.6100488735
United Arab Emirates,2013-01-01,,59921.7478314809
United Arab Emirates,2012-01-01,,57390.7005222198
United Arab Emirates,2011-01-01,,56123.4798828056
United Arab Emirates,2010-01-01,,54921.7755764372
United Arab Emirates,2009-01-01,,58374.6153346969
United Arab Emirates,2008-01-01,,68798.4182632908
United Arab Emirates,2007-01-01,,76620.315063488
United Arab Emirates,2006-01-01,,86425.8972170075
United Arab Emirates,2005-01-01,,90894.8988083534
United Arab Emirates,2004-01-01,,97757.8551504351
United Arab Emirates,2003-01-01,,97795.0272025738
United Arab Emirates,2002-01-01,,95909.1453571449
United Arab Emirates,2001-01-01,,98621.5363854602
United Arab Emirates,2000-01-01,,102494.714621415
United Arab Emirates,1999-01-01,,97698.5373932572
United Arab Emirates,1998-01-01,,100100.435655626
United Arab Emirates,1997-01-01,,105108.996263054
United Arab Emirates,1996-01-01,,102211.638841705
United Arab Emirates,1995-01-01,,101570.992098053
United Arab Emirates,1994-01-01,,100213.156223846
United Arab Emirates,1993-01-01,,98978.4746119566
United Arab Emirates,1992-01-01,,103470.924574274
United Arab Emirates,1991-01-01,,106103.552653107
United Arab Emirates,1990-01-01,,111454.055663076
United Arab Emirates,1989-01-01,,
United Arab Emirates,1988-01-01,,
United Arab Emirates,1987-01-01,,
United Arab Emirates,1986-01-01,,
United Arab Emirates,1985-01-01,,
United Arab Emirates,1984-01-01,,
United Arab Emirates,1983-01-01,,
United Arab Emirates,1982-01-01,,
United Arab Emirates,1981-01-01,,
United Arab Emirates,1980-01-01,,
United Arab Emirates,1979-01-01,,
United Arab Emirates,1978-01-01,,
United Arab Emirates,1977-01-01,,
United Arab Emirates,1976-01-01,,
United Arab Emirates,1975-01-01,,
United Arab Emirates,1974-01-01,,
United Arab Emirates,1973-01-01,,
United Arab Emirates,1972-01-01,,
United Arab Emirates,1971-01-01,,
United Arab Emirates,1970-01-01,,
United Arab Emirates,1969-01-01,,
United Arab Emirates,1968-01-01,,
United Arab Emirates,1967-01-01,,
United Arab Emirates,1966-01-01,,
United Arab Emirates,1965-01-01,,
United Arab Emirates,1964-01-01,,
United Arab Emirates,1963-01-01,,
United Arab Emirates,1962-01-01,,
United Arab Emirates,1961-01-01,,
United Arab Emirates,1960-01-01,,
Antigua and Barbuda,2020-01-01,,17956.315715683
Antigua and Barbuda,2019-01-01,60.28342,21548.7250080262
Antigua and Barbuda,2018-01-01,59.85514,21030.3950717884
Antigua and Barbuda,2017-01-01,59.79669,19840.2840357026
Antigua and Barbuda,2016-01-01,58.80632,19419.58079882
Antigua and Barbuda,2015-01-01,59.23927,18594.2616238259
Antigua and Barbuda,2014-01-01,,18104.4073367164
Antigua and Barbuda,2013-01-01,,17642.860867551
Antigua and Barbuda,2012-01-01,,17966.0643624765
Antigua and Barbuda,2011-01-01,,17605.1701396079
Antigua and Barbuda,2010-01-01,,18205.7385326292
Antigua and Barbuda,2009-01-01,,20047.716006336
Antigua and Barbuda,2008-01-01,,23131.577653176
Antigua and Barbuda,2007-01-01,,23510.7076526761
Antigua and Barbuda,2006-01-01,,21848.8881268378
Antigua and Barbuda,2005-01-01,,19683.5410828179
Antigua and Barbuda,2004-01-01,,18743.286854691
Antigua and Barbuda,2003-01-01,,17952.7791441441
Antigua and Barbuda,2002-01-01,,17143.3260283248
Antigua and Barbuda,2001-01-01,,17207.6512135618
