Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,HHI.1991,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Claims,CivilianCasualty,Partition,HHI.2013,TimedHHI,Net_Displacement,Gross_Displacement
Velika Kladusa,2006,21.15272279,2.052619642,0.719116852,0.874009057,0.899435445,0.035728774,0.836081394,159.3614458,10092.8971,25.80023815,665.6522886,3.169652983,0.018900733,0.988508354,0.372344447,0,0.674579067,0.911134002,-0.208691115,6.347688094
Velika Kladusa,2010,19.32773109,2.052619642,0.719116852,0.874009057,0.899435445,0.035728774,0.836081394,159.3614458,10092.8971,25.80023815,665.6522886,3.169652983,0.018900733,0.988508354,0.372344447,0,0.674579067,0.775959753,-0.205308069,6.244787099
Velika Kladusa,2014,33.36640464,2.052619642,0.719116852,0.874009057,0.899435445,0.035728774,0.836081394,159.3614458,10092.8971,25.80023815,665.6522886,3.169652983,0.018900733,0.988508354,0.372344447,0,0.674579067,0.640785505,-0.203092936,6.177410142
Cazin,2006,64.84255579,1.466668769,0.382993686,0.960973649,0.970755334,0.010742002,0.946842764,178.1151685,7635.556467,26.55410115,705.120288,2.143228879,0.047311896,0.249175984,0.165591635,0,0.921352228,0.978325153,0.054904241,0.529664438
Cazin,2010,61.95453251,1.466668769,0.382993686,0.960973649,0.970755334,0.010742002,0.946842764,178.1151685,7635.556467,26.55410115,705.120288,2.143228879,0.047311896,0.249175984,0.165591635,0,0.921352228,0.945769196,0.054391297,0.524716045
Cazin,2014,80.54324455,1.466668769,0.382993686,0.960973649,0.970755334,0.010742002,0.946842764,178.1151685,7635.556467,26.55410115,705.120288,2.143228879,0.047311896,0.249175984,0.165591635,0,0.921352228,0.913213239,0.054003399,0.520973967
Bihac,2006,54.94875246,2.212577051,0.794157923,0.5579775,0.598700696,0.148697329,0.479180161,102.8081395,20270.28785,29.95661794,897.3989583,1.528304021,0.197930215,3.555674942,0.38596392,0,0.780528221,0.817099712,-3.513633159,7.455198307
Bihac,2010,44.10059542,2.212577051,0.794157923,0.5579775,0.598700696,0.148697329,0.479180161,102.8081395,20270.28785,29.95661794,897.3989583,1.528304021,0.197930215,3.555674942,0.38596392,0,0.780528221,0.796201717,-3.4926171,7.410606604
Bihac,2014,62.93506036,2.212577051,0.794157923,0.5579775,0.598700696,0.148697329,0.479180161,102.8081395,20270.28785,29.95661794,897.3989583,1.528304021,0.197930215,3.555674942,0.38596392,0,0.780528221,0.775303722,-3.477654085,7.3788582
Bosanska Dubica (Kozarska Dubica),2006,96.11687088,1.167499842,0.154864575,0.576875644,0.190493839,0.672702619,0.519002269,63.33867735,25089.06537,34.83177245,1213.252372,7.729545023,0.126558248,3.790419541,0.120230336,0,0.762871501,0.789717322,0.585694847,2.147547773
Bosanska Dubica (Kozarska Dubica),2010,94.42068068,1.167499842,0.154864575,0.576875644,0.190493839,0.672702619,0.519002269,63.33867735,25089.06537,34.83177245,1213.252372,7.729545023,0.126558248,3.790419541,0.120230336,0,0.762871501,0.774376853,0.605300969,2.219436887
Bosanska Dubica (Kozarska Dubica),2014,93.33565338,1.167499842,0.154864575,0.576875644,0.190493839,0.672702619,0.519002269,63.33867735,25089.06537,34.83177245,1213.252372,7.729545023,0.126558248,3.790419541,0.120230336,0,0.762871501,0.759036384,0.625612184,2.29391134
Prijedor,2006,96.34172651,4.685320278,1.544434276,0.430787879,0.395122147,0.379813046,0.378110994,134.9436451,17292.28828,31.87251984,1015.857521,12.46368055,0.319877736,5.592529078,3.694587846,0,0.497196247,0.6289888,5.508000711,9.454530252
Prijedor,2010,90.87674432,4.685320278,1.544434276,0.430787879,0.395122147,0.379813046,0.378110994,134.9436451,17292.28828,31.87251984,1015.857521,12.46368055,0.319877736,5.592529078,3.694587846,0,0.497196247,0.55367877,5.579081093,9.576540335
Prijedor,2014,92.06992516,4.685320278,1.544434276,0.430787879,0.395122147,0.379813046,0.378110994,134.9436451,17292.28828,31.87251984,1015.857521,12.46368055,0.319877736,5.592529078,3.694587846,0,0.497196247,0.47836874,5.679001703,9.748054915
Bosanska Gradiska (Gradiska),2006,95.33928318,1.007103078,0.00707797,0.494210492,0.227531032,0.549107361,0.432281781,78.70603675,29988.29493,33.2677577,1106.743702,9.472438056,0.100043352,6.389435422,0.238436656,0,0.677143993,0.725955337,2.860949209,4.003330557
Bosanska Gradiska (Gradiska),2010,94.50540031,1.007103078,0.00707797,0.494210492,0.227531032,0.549107361,0.432281781,78.70603675,29988.29493,33.2677577,1106.743702,9.472438056,0.100043352,6.389435422,0.238436656,0,0.677143993,0.698063141,2.895473085,4.051639869
Bosanska Gradiska (Gradiska),2014,94.67848402,1.007103078,0.00707797,0.494210492,0.227531032,0.549107361,0.432281781,78.70603675,29988.29493,33.2677577,1106.743702,9.472438056,0.100043352,6.389435422,0.238436656,0,0.677143993,0.670170944,2.944200713,4.119824513
Laktasi,2006,97.2557629,0.797801019,-0.225896062,0.797182303,0.076058724,0.740918149,0.668460207,76.88659794,17174.94637,33.27215741,1107.036459,0.512872084,0.067042102,2.306248324,0.003352105,0,0.916381087,NA,2.786690584,2.897855032
Laktasi,2010,96.81660008,0.797801019,-0.225896062,0.797182303,0.076058724,0.740918149,0.668460207,76.88659794,17174.94637,33.27215741,1107.036459,0.512872084,0.067042102,2.306248324,0.003352105,0,0.916381087,NA,2.702570259,2.810379046
Laktasi,2014,95.06476472,0.797801019,-0.225896062,0.797182303,0.076058724,0.740918149,0.668460207,76.88659794,17174.94637,33.27215741,1107.036459,0.512872084,0.067042102,2.306248324,0.003352105,0,0.916381087,NA,2.651187386,2.756946448
